Anonymous Company id,Geo,"Account Churned?  (1=Yes, 0=No)",Year of Change,Month of Change,nbr of days since last account operation,nbr of days since last document operation,docs opened on mobile,docs opened in reports,docs opened on web,docs opened any source,docs tagged on mobile,docs tagged on web,docs shared any source,docs chg sentiment any source,docs hidden any source,mobile logins,web logins,mobile foreground,forgot password
1,Geo 1,1,2017,2,35,,0,0,0,0,0,0,0,0,0,0,35,0,0
2,Geo 2,0,2017,7,,11,0,11,0,11,0,0,0,0,0,0,0,0,0
3,Geo 1,0,2017,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Geo 2,0,2017,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Geo 2,0,2017,8,,50,0,50,0,50,0,0,0,0,0,0,0,0,0
6,Geo 1,0,2017,3,,8,0,8,0,8,0,0,0,0,0,0,0,0,0
6,Geo 1,0,2017,5,,41,0,41,0,41,0,0,0,0,0,0,0,0,0
6,Geo 1,0,2017,6,,42,0,42,0,42,0,0,0,0,0,0,0,0,0
9,Geo 1,1,2017,8,,30,0,30,0,30,0,0,0,0,0,0,0,0,0
10,Unknown,0,2017,5,159,184,0,37,147,184,0,0,0,0,0,0,109,0,0
10,Unknown,0,2017,8,50,128,0,48,80,128,0,0,0,0,0,0,48,0,0
12,Geo 2,0,2017,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Geo 1,1,2017,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Geo 3,0,2017,6,20,66,0,25,41,66,0,0,0,0,0,1,4,0,0
15,Geo 2,0,2017,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Geo 1,0,2017,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Geo 1,0,2017,2,11,10,0,0,10,10,0,8,0,0,0,0,11,0,0
18,Geo 1,0,2017,4,,31,0,28,0,28,0,0,0,0,0,0,0,0,0
19,Geo 1,0,2017,4,50,158,0,115,42,157,0,12,1,0,0,0,33,0,0
20,Geo 1,0,2017,4,37,428,4,356,67,427,0,0,0,0,0,1,13,5,0
21,Geo 2,0,2017,8,,57,0,57,0,57,0,0,0,0,0,0,0,0,0
22,Geo 2,0,2017,9,,6,0,6,0,6,0,0,0,0,0,0,0,0,0
23,Geo 1,0,2017,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Geo 1,0,2017,9,,66,0,66,0,66,0,0,0,0,0,0,0,0,0
25,Geo 1,0,2017,4,1,25,0,24,1,25,0,0,0,0,0,0,1,0,0
26,Geo 1,1,2017,2,61,22,4,3,12,20,1,0,1,0,0,3,14,23,0
27,Geo 1,0,2017,2,28,246,1,242,3,246,0,0,1,0,0,0,2,15,0
28,Geo 1,0,2017,5,8,43,0,39,3,42,0,0,0,0,0,1,4,0,0
29,Geo 1,0,2017,3,354,435,16,392,21,432,1,0,1,0,0,2,2,177,0
29,Geo 1,0,2017,6,125,293,22,557,3,582,0,0,0,0,0,3,18,107,0
31,Geo 1,0,2017,2,38,285,12,268,0,285,0,0,0,0,0,0,2,19,0
32,Geo 2,0,2017,7,7,5,0,4,1,5,0,0,0,0,0,0,7,0,0
33,Geo 1,0,2017,2,2,10,0,7,3,10,0,0,0,0,0,0,0,0,0
34,Geo 2,0,2017,5,71,1,0,0,1,1,0,9,0,0,0,0,69,0,0
35,Geo 1,0,2017,2,10,39,0,38,1,39,0,0,0,0,0,0,4,0,0
36,Geo 1,0,2017,1,5,20,4,13,0,17,0,0,3,0,0,1,0,2,0
37,Geo 1,0,2017,4,20,795,0,20,739,759,0,0,0,35,0,0,1,0,0
38,Unknown,1,2017,8,,1,0,1,0,1,0,0,0,0,0,0,0,0,0
39,Geo 2,1,2017,6,96,1,1,0,0,1,0,0,0,0,0,1,78,9,0
40,Geo 2,0,2017,5,4,80,0,77,3,80,0,0,0,0,0,0,0,0,0
41,Geo 3,0,2017,3,95,1926,0,5,1921,1926,0,0,0,0,0,0,92,0,0
41,Geo 3,0,2017,7,140,1158,0,7,1092,1099,0,0,0,26,39,1,122,2,0
43,Geo 3,1,2017,5,13,28,0,1,27,28,0,0,0,0,0,0,10,0,0
44,Geo 1,0,2017,3,129,204,37,144,0,198,1,0,12,0,0,0,0,71,0
45,Geo 2,0,2017,4,101,1139,0,1118,21,1139,0,0,0,0,0,0,101,0,0
45,Geo 2,0,2017,9,31,639,0,636,3,639,0,0,0,0,0,0,31,0,0
47,Unknown,1,2017,3,5,155,0,150,5,155,0,0,0,0,0,0,1,0,0
47,Unknown,1,2017,7,8,123,0,98,25,123,0,0,0,0,0,0,5,0,0
49,Geo 3,0,2017,6,6,86,0,86,0,86,0,0,0,0,0,0,5,0,0
50,Geo 2,0,2017,6,15,406,0,406,0,406,0,0,0,0,0,0,8,0,0
51,Geo 2,0,2017,6,18,116,0,25,91,116,0,0,0,0,0,0,18,0,0
52,Geo 1,0,2017,4,17,325,9,298,19,326,0,0,0,0,0,0,0,1,0
53,Geo 1,0,2017,1,10,294,0,294,0,294,0,4,0,0,0,0,4,0,0
54,Geo 1,0,2017,4,3,10,0,10,0,10,0,0,0,0,0,0,1,0,0
55,Geo 1,0,2017,5,16,15,0,1,14,15,0,0,0,0,0,0,16,0,0
56,Geo 2,0,2017,5,40,25,0,0,25,25,0,0,0,0,0,0,40,0,0
57,Geo 1,0,2017,3,16,276,0,125,64,189,0,0,88,0,0,0,10,0,0
58,Geo 1,0,2017,6,23,62,3,35,20,58,0,0,3,0,0,0,9,1,0
59,Geo 1,0,2017,5,23,63,0,42,10,52,0,0,0,0,0,0,21,0,0
60,Geo 1,0,2017,3,26,20,0,0,20,20,0,0,0,0,0,0,23,0,0
61,Geo 2,0,2017,1,,4,0,4,0,4,0,0,0,0,0,0,0,0,0
62,Geo 2,0,2017,3,4,1168,0,1168,1,1169,0,0,0,0,0,0,3,0,0
62,Geo 2,0,2017,6,7,323,0,321,2,323,0,0,0,0,0,0,5,0,0
64,Geo 2,0,2017,6,,35,0,35,0,35,0,0,0,0,0,0,0,0,0
65,Geo 3,0,2017,2,,18,0,18,0,18,0,0,0,0,0,0,0,0,0
65,Geo 3,0,2017,7,,134,0,134,0,134,0,0,0,0,0,0,0,0,0
67,Geo 1,0,2017,1,74,3084,15,1,707,723,2,0,0,2399,0,1,26,14,0
67,Geo 1,0,2017,2,61,3947,15,1,992,1008,2,0,0,2978,0,1,36,14,0
69,Geo 1,0,2017,5,368,687,27,256,372,655,1,0,46,0,0,3,199,79,0
70,Geo 1,0,2017,1,20,5,0,0,5,5,0,0,0,0,0,0,11,0,0
71,Geo 1,0,2017,4,5,422,0,414,8,422,0,0,0,0,0,0,3,0,0
72,Unknown,1,2017,2,2,22,0,19,3,22,0,0,0,0,0,0,0,0,0
73,Geo 1,0,2017,4,4,13,0,8,5,13,0,0,0,0,0,0,4,0,0
74,Geo 1,0,2017,4,1,21,0,21,0,21,0,0,0,0,0,0,1,0,0
75,Geo 2,0,2017,2,116,525,0,194,186,380,0,0,2,152,0,1,106,3,0
75,Geo 2,0,2017,4,132,386,0,231,155,386,0,0,0,0,0,0,124,0,0
75,Geo 2,0,2017,8,105,390,0,284,106,390,0,0,0,0,0,0,94,0,0
78,Geo 1,1,2017,5,3,314,0,309,5,314,0,0,0,0,0,0,2,0,0
79,Geo 1,0,2017,6,3,41,0,40,1,41,0,0,0,0,0,0,2,0,0
80,Geo 1,0,2017,1,11,28,0,12,16,28,0,0,0,0,0,0,4,0,0
81,Geo 1,0,2017,5,4,37,0,35,2,37,0,0,0,0,0,0,4,0,0
82,Geo 1,1,2017,3,2,62,0,62,0,62,0,0,0,0,0,0,1,0,0
83,Geo 1,0,2017,4,6,107,0,0,107,107,0,0,0,0,0,0,6,0,0
84,Geo 3,0,2017,5,93,122,2,37,79,118,0,9,2,2,0,4,54,12,0
85,Unknown,1,2017,9,,37,0,32,0,32,0,0,0,0,0,0,0,0,0
86,Geo 1,0,2017,8,209,852,48,444,196,688,15,21,1,0,0,2,29,83,0
87,Geo 1,0,2017,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Geo 1,0,2017,3,82,1171,0,898,273,1171,0,0,0,0,0,0,56,0,0
89,Geo 1,0,2017,6,13,325,0,304,21,325,0,0,0,0,0,0,12,0,0
90,Geo 1,0,2017,5,4,6,2,4,0,6,0,0,0,0,0,1,0,0,0
91,Geo 2,0,2017,2,17,837,0,96,21,117,0,0,0,751,0,2,9,1,0
92,Geo 2,0,2017,3,,39,0,39,0,39,0,0,0,0,0,0,0,0,0
93,Geo 2,1,2017,4,4,136,0,136,0,136,0,0,0,0,0,0,1,0,0
93,Geo 2,1,2017,9,22,200,5,195,0,200,0,0,0,0,0,2,2,7,0
95,Geo 2,1,2017,5,108,97,9,23,65,97,0,0,0,0,0,0,67,9,0
96,Geo 2,0,2017,8,,54,0,54,0,54,0,0,0,0,0,0,0,0,0
97,Geo 2,1,2017,5,5,4,0,4,0,4,0,0,0,0,0,0,3,0,0
98,Geo 2,0,2017,3,33,74,0,63,11,74,0,13,0,0,0,0,26,0,0
99,Geo 1,0,2017,6,1,52,0,52,0,52,0,0,0,0,0,0,1,0,0
100,Geo 1,0,2017,6,33,505,0,381,1,382,0,0,0,0,0,0,33,0,0
101,Geo 1,0,2017,5,14,1148,0,1115,33,1148,0,0,0,0,0,0,4,0,0
102,Geo 1,0,2017,4,170,174,46,86,10,157,1,0,19,0,0,2,4,82,0
103,Geo 1,0,2017,4,,4,0,4,0,4,0,0,0,0,0,0,0,0,0
104,Geo 1,1,2017,4,1,14,0,14,0,14,0,0,0,0,0,0,1,0,0
105,Geo 1,0,2017,6,16,34,0,24,8,34,0,0,0,0,0,1,6,5,0
105,Geo 1,0,2017,9,26,66,0,35,31,66,0,1,0,0,0,0,21,0,0
107,Geo 3,1,2017,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Geo 1,0,2017,9,5,37,0,36,1,37,0,0,0,0,0,0,2,0,0
109,Geo 2,0,2017,9,16,133,0,57,76,133,0,174,0,0,0,0,15,0,0
110,Geo 3,0,2017,2,5,19,0,0,19,19,0,0,0,0,0,0,5,0,0
111,Geo 1,0,2017,2,50,435,0,364,71,435,0,0,0,0,0,0,47,0,0
112,Geo 1,0,2017,2,1,76,0,76,0,76,0,0,0,0,0,0,0,0,0
113,Geo 2,1,2017,1,,6,0,6,0,6,0,0,0,0,0,0,0,0,0
114,Geo 2,0,2017,3,3,1,0,1,0,1,0,0,0,0,0,0,2,0,0
115,Geo 2,0,2017,7,1,2467,0,2458,8,2466,0,0,0,0,0,0,0,0,0
116,Geo 2,0,2017,9,7,28,0,0,28,28,0,0,0,0,0,0,7,0,0
117,Geo 2,0,2017,3,136,150,12,98,27,138,0,0,9,0,4,2,6,65,0
118,Geo 2,0,2017,2,13,482,0,67,322,389,0,1,94,0,4,0,13,0,0
118,Geo 2,0,2017,8,57,87,0,33,54,87,0,0,0,0,0,0,53,2,0
120,Geo 2,0,2017,3,18,97,0,50,25,75,0,29,0,0,1,0,18,0,0
121,Geo 2,0,2017,6,,50,0,50,0,50,0,0,0,0,0,0,0,0,0
122,Geo 2,0,2017,8,39,279,0,21,178,199,0,137,127,0,0,0,39,0,0
123,Geo 2,0,2017,7,68,9,0,0,9,9,0,0,0,0,0,0,68,0,0
124,Geo 1,0,2017,9,2,150,0,148,2,150,0,0,0,0,0,0,0,0,0
125,Geo 1,0,2017,9,6,97,0,97,0,97,0,0,0,0,0,0,4,0,0
126,Unknown,1,2017,6,6,34,1,30,1,32,0,2,0,0,0,1,2,0,0
127,Geo 3,1,2017,4,11,126,0,42,84,126,0,0,0,0,0,0,7,0,0
128,Geo 1,0,2017,8,34,12,0,6,6,12,0,0,0,0,0,0,34,0,0
129,Geo 1,0,2017,1,4,7,0,3,4,7,0,0,0,0,0,0,0,0,0
130,Geo 1,0,2017,5,3,53,0,52,0,52,0,0,1,0,0,0,2,0,0
130,Geo 1,0,2017,9,11,80,0,64,16,80,0,0,0,0,0,0,8,0,0
132,Geo 1,0,2017,4,50,32,5,23,4,32,0,0,0,0,0,2,5,22,0
